COD_CURSO;NOME_CURSO;ANO_EVASAO;PERIODO_EVASAO;FORMA_EVASAO;COTISTA;SEXO;ET_BRANCA;ET_PRETA;ET_AMARELA;ET_PARDA;ET_INDIGINA;ET_NAO_INFORMADO;ET_NAO_DECLARADA;QTDE
12 B;Matemática - Bacharelado;2015;2º Semestre;Desligamento por Abandono;N;F;3;0;0;2;0;0;0;5
12 B;Matemática - Bacharelado;2015;2º Semestre;Desligamento por Abandono;N;M;7;0;1;2;0;0;0;10
12 B;Matemática - Bacharelado;2015;2º Semestre;Formado;N;M;1;1;0;1;0;0;0;3
12 L;Matemática - Licenciatura;2015;2º Semestre;Desistência;N;M;0;0;0;1;0;0;0;1
12 L;Matemática - Licenciatura;2015;2º Semestre;Formado;N;F;2;0;0;2;0;0;0;4
12 L;Matemática - Licenciatura;2015;2º Semestre;Formado;N;M;1;1;0;0;0;0;0;2
16;Estatística;2015;2º Semestre;Desistência;N;F;1;0;0;0;0;0;0;1
16;Estatística;2015;2º Semestre;Desistência;N;M;1;0;0;1;0;0;0;2
16;Estatística;2015;2º Semestre;Desligamento por Abandono;N;F;1;0;0;1;0;0;0;2
16;Estatística;2015;2º Semestre;Desligamento por Abandono;N;M;2;1;0;1;0;0;0;4
16;Estatística;2015;2º Semestre;Desligamento por Abandono;S;F;0;0;0;1;0;0;0;1
16;Estatística;2015;2º Semestre;Desligamento por Abandono;S;M;0;1;0;0;0;0;0;1
16;Estatística;2015;2º Semestre;Desligamento: 3 reprovações em 1 disciplina;N;M;0;0;0;2;0;0;0;2
16;Estatística;2015;2º Semestre;Formado;N;F;1;0;0;0;0;0;0;1
32 B;Química - Bacharelado;2015;2º Semestre;Desistência;N;F;3;1;0;3;0;0;0;7
32 B;Química - Bacharelado;2015;2º Semestre;Desistência;N;M;2;1;0;0;0;0;0;3
32 B;Química - Bacharelado;2015;2º Semestre;Desistência;S;F;1;0;0;0;0;0;0;1
32 B;Química - Bacharelado;2015;2º Semestre;Desistência;S;M;0;0;0;2;0;0;0;2
32 B;Química - Bacharelado;2015;2º Semestre;Desligamento por Abandono;N;F;4;0;0;0;0;0;0;4
32 B;Química - Bacharelado;2015;2º Semestre;Desligamento por Abandono;N;M;6;1;0;1;0;0;0;8
32 B;Química - Bacharelado;2015;2º Semestre;Desligamento por Abandono;S;M;1;0;0;1;0;0;0;2
32 B;Química - Bacharelado;2015;2º Semestre;Desligamento: 3 reprovações em 1 disciplina;N;F;1;0;0;1;0;0;0;2
32 B;Química - Bacharelado;2015;2º Semestre;Desligamento: 3 reprovações em 1 disciplina;N;M;1;0;0;0;0;0;0;1
32 B;Química - Bacharelado;2015;2º Semestre;Desligamento: 3 reprovações em 1 disciplina;S;M;0;1;0;0;0;0;0;1
32 B;Química - Bacharelado;2015;2º Semestre;Formado;N;F;3;0;0;2;0;0;2;7
32 B;Química - Bacharelado;2015;2º Semestre;Formado;N;M;2;0;0;1;0;0;0;3
32 B;Química - Bacharelado;2015;2º Semestre;Formado;S;F;1;0;0;1;0;0;0;2
32 B;Química - Bacharelado;2015;2º Semestre;Formado;S;M;2;0;0;0;0;0;0;2
32 B;Química - Bacharelado;2015;2º Semestre;Reopção de Curso;S;M;0;0;0;1;0;0;0;1
32 L;Química - Licenciatura;2015;2º Semestre;Desistência;N;F;2;0;0;0;0;0;0;2
32 L;Química - Licenciatura;2015;2º Semestre;Desistência;N;M;0;1;0;1;0;0;0;2
32 L;Química - Licenciatura;2015;2º Semestre;Desistência;S;F;0;0;0;1;0;0;0;1
32 L;Química - Licenciatura;2015;2º Semestre;Desligamento: 3 reprovações em 1 disciplina;N;M;0;1;0;0;0;0;0;1
32 L;Química - Licenciatura;2015;2º Semestre;Desligamento: 3 reprovações em 1 disciplina;S;F;1;0;0;1;0;0;0;2
32 L;Química - Licenciatura;2015;2º Semestre;Desligamento: 3 reprovações em 1 disciplina;S;M;0;0;0;1;0;0;0;1
32 L;Química - Licenciatura;2015;2º Semestre;Formado;N;F;1;0;0;0;0;0;0;1
32 L;Química - Licenciatura;2015;2º Semestre;Formado;S;F;1;0;0;0;0;0;0;1
32 L;Química - Licenciatura;2015;2º Semestre;Formado;S;M;0;0;0;1;0;0;0;1
32 L;Química - Licenciatura;2015;2º Semestre;Reopção de Curso;N;F;1;0;0;0;0;0;0;1
32 L;Química - Licenciatura;2015;2º Semestre;Reopção de Curso;N;M;0;0;0;1;0;0;0;1
10 B;Física - Bacharelado;2016;1º Semestre;Desistência;N;M;2;0;0;1;0;0;0;3
10 B;Física - Bacharelado;2016;1º Semestre;Desistência;S;M;0;0;0;1;0;0;0;1
10 B;Física - Bacharelado;2016;1º Semestre;Formado;N;M;3;1;0;1;0;0;0;5
10 B;Física - Bacharelado;2016;1º Semestre;Formado;S;M;1;0;0;0;0;0;0;1
10 B;Física - Bacharelado;2016;1º Semestre;Transferido;S;F;1;0;0;0;0;0;0;1
10 L;Física - Licenciatura;2016;1º Semestre;Desistência;N;F;1;0;0;0;0;0;0;1
10 L;Física - Licenciatura;2016;1º Semestre;Desistência;N;M;1;0;0;0;0;0;0;1
10 L;Física - Licenciatura;2016;1º Semestre;Formado;N;F;0;0;0;1;0;0;0;1
10 L;Física - Licenciatura;2016;1º Semestre;Formado;N;M;0;0;0;2;0;0;0;2
10 L;Física - Licenciatura;2016;1º Semestre;Reopção de Curso;N;M;0;0;0;1;0;0;0;1
10 L;Física - Licenciatura;2016;1º Semestre;Transferido;N;F;0;0;0;1;0;0;0;1
10 L;Física - Licenciatura;2016;1º Semestre;Transferido;S;F;0;0;0;1;0;0;0;1
12;Matemática;2016;1º Semestre;Desistência;N;M;0;0;0;1;0;0;0;1
12;Matemática;2016;1º Semestre;Transferido;N;M;0;0;0;1;0;0;0;1
12 B;Matemática - Bacharelado;2016;1º Semestre;Formado;N;M;1;0;0;0;0;0;0;1
12 L;Matemática - Licenciatura;2016;1º Semestre;Desistência;N;M;0;0;0;1;0;0;0;1
12 L;Matemática - Licenciatura;2016;1º Semestre;Formado;N;F;1;0;0;0;0;0;1;2
12 L;Matemática - Licenciatura;2016;1º Semestre;Formado;N;M;0;0;0;1;0;0;0;1
16;Estatística;2016;1º Semestre;Desistência;N;F;2;0;0;0;0;0;0;2
16;Estatística;2016;1º Semestre;Desistência;N;M;0;0;0;1;0;0;0;1
16;Estatística;2016;1º Semestre;Formado;N;F;1;0;0;0;0;0;0;1
32 B;Química - Bacharelado;2016;1º Semestre;Desistência;N;F;0;1;0;1;0;0;0;2
32 B;Química - Bacharelado;2016;1º Semestre;Desistência;N;M;2;0;0;0;0;0;0;2
32 B;Química - Bacharelado;2016;1º Semestre;Desistência;S;F;0;0;0;2;0;0;0;2
32 B;Química - Bacharelado;2016;1º Semestre;Desistência;S;M;0;0;0;1;0;0;0;1
32 B;Química - Bacharelado;2016;1º Semestre;Formado;N;F;3;1;0;5;0;0;0;9
32 B;Química - Bacharelado;2016;1º Semestre;Formado;N;M;2;0;0;1;0;0;0;3
32 B;Química - Bacharelado;2016;1º Semestre;Formado;S;F;1;0;0;1;0;0;0;2
32 B;Química - Bacharelado;2016;1º Semestre;Formado;S;M;0;0;0;1;0;0;0;1
32 B;Química - Bacharelado;2016;1º Semestre;Transferido;N;F;0;1;0;0;0;0;0;1
32 B;Química - Bacharelado;2016;1º Semestre;Transferido;S;F;0;0;0;1;0;0;0;1
32 L;Química - Licenciatura;2016;1º Semestre;Formado;N;M;1;0;0;0;0;0;0;1
10 B;Física - Bacharelado;2016;2º Semestre;Desistência;N;F;4;0;0;0;0;0;0;4
10 B;Física - Bacharelado;2016;2º Semestre;Desistência;N;M;3;0;0;2;1;0;0;6
10 B;Física - Bacharelado;2016;2º Semestre;Desistência;S;F;0;0;0;1;0;0;0;1
10 B;Física - Bacharelado;2016;2º Semestre;Desistência;S;M;0;0;0;2;0;0;0;2
10 B;Física - Bacharelado;2016;2º Semestre;Formado;N;F;1;0;0;0;0;0;0;1
10 B;Física - Bacharelado;2016;2º Semestre;Formado;N;M;3;0;0;1;0;0;1;5
10 B;Física - Bacharelado;2016;2º Semestre;Formado;S;M;1;0;0;0;0;0;0;1
10 B;Física - Bacharelado;2016;2º Semestre;Reopção de curso;N;M;2;0;0;0;0;0;0;2
10 L;Física - Licenciatura;2016;2º Semestre;Desistência;N;M;0;0;0;2;1;0;1;4
10 L;Física - Licenciatura;2016;2º Semestre;Desistência;S;F;1;1;0;0;0;0;0;2
10 L;Física - Licenciatura;2016;2º Semestre;Desistência;S;M;1;1;0;2;0;0;0;4
10 L;Física - Licenciatura;2016;2º Semestre;Desligamento por Abandono;N;M;0;1;0;0;0;0;0;1
10 L;Física - Licenciatura;2016;2º Semestre;Transferido;N;M;1;0;0;1;0;0;0;2
12;Matemática;2016;2º Semestre;Desistência;N;F;1;0;0;2;0;0;0;3
12;Matemática;2016;2º Semestre;Desistência;N;M;1;0;0;2;0;0;0;3
12;Matemática;2016;2º Semestre;Desistência;S;M;0;0;0;1;0;0;0;1
12;Matemática;2016;2º Semestre;Desligamento por Abandono;N;F;1;0;0;1;0;0;0;2
12;Matemática;2016;2º Semestre;Desligamento por Abandono;N;M;3;0;0;1;0;0;1;5
12;Matemática;2016;2º Semestre;Reopção de curso;N;M;0;0;0;1;0;0;0;1
12 B;Matemática - Bacharelado;2016;2º Semestre;Desistência;N;F;2;0;0;0;0;0;0;2
12 B;Matemática - Bacharelado;2016;2º Semestre;Desligamento por Abandono;N;F;1;0;0;1;0;0;0;2
12 B;Matemática - Bacharelado;2016;2º Semestre;Desligamento por Abandono;N;M;2;0;0;2;0;0;1;5
12 L;Matemática - Licenciatura;2016;2º Semestre;Formado;N;M;0;0;0;2;0;0;0;2
16;Estatística;2016;2º Semestre;Desistência;N;F;0;0;0;1;0;0;0;1
16;Estatística;2016;2º Semestre;Desistência;N;M;3;0;0;0;0;0;0;3
32 B;Química - Bacharelado;2016;2º Semestre;Desistência;N;F;5;0;0;0;0;0;0;5
32 B;Química - Bacharelado;2016;2º Semestre;Desistência;N;M;2;0;0;2;0;0;0;4
32 B;Química - Bacharelado;2016;2º Semestre;Desistência;S;F;0;0;0;1;0;0;0;1
32 B;Química - Bacharelado;2016;2º Semestre;Desistência;S;M;0;0;0;2;0;0;0;2
32 B;Química - Bacharelado;2016;2º Semestre;Formado;N;F;1;0;0;1;0;0;0;2
32 B;Química - Bacharelado;2016;2º Semestre;Formado;S;F;2;0;0;0;0;0;0;2
32 B;Química - Bacharelado;2016;2º Semestre;Reopção de curso;N;F;1;0;0;0;0;0;0;1
32 B;Química - Bacharelado;2016;2º Semestre;Transferido;N;F;0;0;0;1;0;0;0;1
32 B;Química - Bacharelado;2016;2º Semestre;Transferido;S;M;1;0;0;0;0;0;0;1
32 L;Química - Licenciatura;2016;2º Semestre;Desistência;S;F;0;0;0;1;0;0;0;1
32 L;Química - Licenciatura;2016;2º Semestre;Desistência;S;M;1;0;0;0;0;0;0;1
32 L;Química - Licenciatura;2016;2º Semestre;Formado;N;F;1;0;0;0;0;0;0;1
32 L;Química - Licenciatura;2016;2º Semestre;Reopção de curso;N;F;1;0;0;0;0;0;0;1
10 B;Física - Bacharelado;2017;1º Semestre;Desistência;N;F;1;0;0;1;0;0;0;2
10 B;Física - Bacharelado;2017;1º Semestre;Desistência;N;M;2;0;0;0;0;0;0;2
10 B;Física - Bacharelado;2017;1º Semestre;Desistência;S;F;1;0;0;0;0;0;0;1
10 B;Física - Bacharelado;2017;1º Semestre;Desistência;S;M;0;0;0;1;0;0;0;1
10 B;Física - Bacharelado;2017;1º Semestre;Desligamento por Abandono;N;F;2;0;0;0;0;0;0;2
10 B;Física - Bacharelado;2017;1º Semestre;Desligamento por Abandono;N;M;3;0;0;3;1;0;0;7
10 B;Física - Bacharelado;2017;1º Semestre;Desligamento por Abandono;S;M;0;0;0;2;0;0;0;2
10 B;Física - Bacharelado;2017;1º Semestre;Desligamento: 3 reprovações em 1 disciplina;N;F;1;0;0;1;0;0;0;2
10 B;Física - Bacharelado;2017;1º Semestre;Desligamento: 3 reprovações em 1 disciplina;N;M;2;1;0;0;0;0;1;4
10 B;Física - Bacharelado;2017;1º Semestre;Desligamento: 3 reprovações em 1 disciplina;S;M;1;0;0;0;0;0;0;1
10 B;Física - Bacharelado;2017;1º Semestre;Formado;N;M;1;0;0;1;0;0;0;2
10 B;Física - Bacharelado;2017;1º Semestre;Transferido;N;F;1;0;0;0;0;0;0;1
10 L;Física - Licenciatura;2017;1º Semestre;Desistência;N;M;2;0;0;0;0;0;0;2
10 L;Física - Licenciatura;2017;1º Semestre;Desligamento por Abandono;N;M;0;3;0;0;0;0;0;3
10 L;Física - Licenciatura;2017;1º Semestre;Desligamento por Abandono;S;M;1;0;1;1;0;0;0;3
10 L;Física - Licenciatura;2017;1º Semestre;Desligamento: 3 reprovações em 1 disciplina;N;M;4;2;0;2;0;0;0;8
